exp_id,datetime,git_commit,git_dirty,dataset,task,image,num_steps,schedule,num_epochs,lr,zeta_init,d_init,wave,level,eta,noise_sigma,obs_psnr,psnr,ssim,lpips,nfe_opt,nfe_sample,nfe_total,time_opt_s,time_sample_s,time_total_s
20260815_162619_super_resolution_ffhq_00002,2026-08-15 16:26:19,3c0b512,True,ffhq,super_resolution,00002.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,29.4104,30.2512,0.8587,0.133,300,30,330,23.2,1.9,25.1
20260815_162646_super_resolution_ffhq_00003,2026-08-15 16:26:46,3c0b512,True,ffhq,super_resolution,00003.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.089,28.0574,0.8678,0.0667,300,30,330,23.3,1.6,24.9
20260815_162715_super_resolution_ffhq_00004,2026-08-15 16:27:15,3c0b512,True,ffhq,super_resolution,00004.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,23.262,23.3792,0.7702,0.1797,300,30,330,24.3,2.1,26.4
20260815_162746_super_resolution_ffhq_00005,2026-08-15 16:27:46,3c0b512,True,ffhq,super_resolution,00005.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.0041,28.3264,0.8326,0.1612,300,30,330,23.7,2.1,25.8
20260815_162816_super_resolution_ffhq_00006,2026-08-15 16:28:16,3c0b512,True,ffhq,super_resolution,00006.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.3407,28.4028,0.8705,0.1149,300,30,330,22.9,2.0,24.9
20260815_162846_super_resolution_ffhq_00007,2026-08-15 16:28:46,3c0b512,True,ffhq,super_resolution,00007.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,26.4564,26.1828,0.7921,0.1172,300,30,330,24.0,1.7,25.8
20260815_162915_super_resolution_ffhq_00008,2026-08-15 16:29:15,3c0b512,True,ffhq,super_resolution,00008.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.3992,28.4478,0.814,0.118,300,30,330,24.7,2.0,26.7
20260815_162942_super_resolution_ffhq_00009,2026-08-15 16:29:42,3c0b512,True,ffhq,super_resolution,00009.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.5625,28.2389,0.887,0.1238,300,30,330,23.1,1.7,24.8
20260815_163010_super_resolution_ffhq_00010,2026-08-15 16:30:10,3c0b512,True,ffhq,super_resolution,00010.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,24.1642,25.2325,0.8334,0.1153,300,30,330,23.6,2.1,25.6
20260815_163038_super_resolution_ffhq_00011,2026-08-15 16:30:39,3c0b512,True,ffhq,super_resolution,00011.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,26.419,27.3646,0.8637,0.1152,300,30,330,23.7,2.0,25.8
20260815_163108_super_resolution_ffhq_00012,2026-08-15 16:31:08,3c0b512,True,ffhq,super_resolution,00012.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,26.0347,27.1977,0.8909,0.0878,300,30,330,23.1,1.3,24.4
20260815_163136_super_resolution_ffhq_00013,2026-08-15 16:31:36,3c0b512,True,ffhq,super_resolution,00013.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,24.7452,24.958,0.8338,0.08,300,30,330,20.9,1.6,22.5
20260815_163204_super_resolution_ffhq_00014,2026-08-15 16:32:04,3c0b512,True,ffhq,super_resolution,00014.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.0868,27.5494,0.8082,0.1181,300,30,330,22.9,1.9,24.8
20260815_163231_super_resolution_ffhq_00015,2026-08-15 16:32:31,3c0b512,True,ffhq,super_resolution,00015.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,28.8983,28.5412,0.8718,0.1319,300,30,330,22.9,2.1,25.1
20260815_163259_super_resolution_ffhq_00016,2026-08-15 16:32:59,3c0b512,True,ffhq,super_resolution,00016.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.862,29.2104,0.8476,0.1181,300,30,330,23.2,2.0,25.2
20260815_163328_super_resolution_ffhq_00017,2026-08-15 16:33:28,3c0b512,True,ffhq,super_resolution,00017.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,28.2715,28.8224,0.8972,0.1002,300,30,330,23.9,2.0,25.9
20260815_163356_super_resolution_ffhq_00018,2026-08-15 16:33:56,3c0b512,True,ffhq,super_resolution,00018.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.5864,27.7591,0.8342,0.1273,300,30,330,23.4,2.3,25.7
20260815_163425_super_resolution_ffhq_00019,2026-08-15 16:34:25,3c0b512,True,ffhq,super_resolution,00019.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.0915,27.912,0.877,0.0836,300,30,330,23.8,2.0,25.9
20260815_163924_super_resolution_ffhq_00000,2026-08-15 16:39:24,3c0b512,True,ffhq,super_resolution,00000.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,28.7326,29.0336,0.8721,0.1034,300,20,320,24.5,1.4,26.0
20260815_163950_super_resolution_ffhq_00001,2026-08-15 16:39:50,3c0b512,True,ffhq,super_resolution,00001.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.7569,27.6845,0.8219,0.1137,300,20,320,22.3,1.4,23.7
20260815_164017_super_resolution_ffhq_00002,2026-08-15 16:40:17,3c0b512,True,ffhq,super_resolution,00002.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,29.3546,29.7101,0.8523,0.1585,300,20,320,23.4,1.2,24.6
20260815_164044_super_resolution_ffhq_00003,2026-08-15 16:40:44,3c0b512,True,ffhq,super_resolution,00003.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.0608,27.7375,0.8588,0.0796,300,20,320,23.8,1.3,25.1
20260815_164113_super_resolution_ffhq_00004,2026-08-15 16:41:13,3c0b512,True,ffhq,super_resolution,00004.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,23.2593,23.2009,0.766,0.1765,300,20,320,23.9,1.4,25.3
20260815_164141_super_resolution_ffhq_00005,2026-08-15 16:41:41,3c0b512,True,ffhq,super_resolution,00005.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.0047,27.7164,0.8181,0.1701,300,20,320,24.6,1.2,25.8
20260815_164210_super_resolution_ffhq_00006,2026-08-15 16:42:10,3c0b512,True,ffhq,super_resolution,00006.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.3108,27.4131,0.8614,0.1356,300,20,320,23.5,1.4,24.9
20260815_164238_super_resolution_ffhq_00007,2026-08-15 16:42:38,3c0b512,True,ffhq,super_resolution,00007.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,26.4711,26.1889,0.7603,0.1321,300,20,320,24.0,1.5,25.5
20260815_164304_super_resolution_ffhq_00008,2026-08-15 16:43:05,3c0b512,True,ffhq,super_resolution,00008.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.4137,28.0842,0.7992,0.1322,300,20,320,23.0,1.2,24.2
20260815_164333_super_resolution_ffhq_00009,2026-08-15 16:43:33,3c0b512,True,ffhq,super_resolution,00009.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.5308,27.3047,0.8668,0.1379,300,20,320,23.4,1.3,24.7
20260815_164400_super_resolution_ffhq_00010,2026-08-15 16:44:00,3c0b512,True,ffhq,super_resolution,00010.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,24.1776,24.8301,0.8269,0.1285,300,20,320,23.9,1.3,25.1
20260815_164424_super_resolution_ffhq_00011,2026-08-15 16:44:24,3c0b512,True,ffhq,super_resolution,00011.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,26.4611,26.2276,0.8502,0.1399,300,20,320,19.2,1.2,20.3
20260815_164450_super_resolution_ffhq_00012,2026-08-15 16:44:50,3c0b512,True,ffhq,super_resolution,00012.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,26.0263,27.1528,0.885,0.13,300,20,320,22.5,1.3,23.8
20260815_164518_super_resolution_ffhq_00013,2026-08-15 16:45:18,3c0b512,True,ffhq,super_resolution,00013.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,24.7761,24.6685,0.8234,0.0907,300,20,320,23.0,1.3,24.3
20260815_164545_super_resolution_ffhq_00014,2026-08-15 16:45:45,3c0b512,True,ffhq,super_resolution,00014.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.1035,27.1696,0.8032,0.121,300,20,320,23.7,1.3,25.0
20260815_164612_super_resolution_ffhq_00015,2026-08-15 16:46:12,3c0b512,True,ffhq,super_resolution,00015.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,28.9395,28.773,0.8732,0.1225,300,20,320,23.6,1.3,24.9
20260815_164639_super_resolution_ffhq_00016,2026-08-15 16:46:39,3c0b512,True,ffhq,super_resolution,00016.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.8935,28.7807,0.8323,0.1301,300,20,320,23.0,1.4,24.5
20260815_164705_super_resolution_ffhq_00017,2026-08-15 16:47:06,3c0b512,True,ffhq,super_resolution,00017.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,28.3254,28.5843,0.8996,0.1002,300,20,320,23.6,1.4,25.0
20260815_164734_super_resolution_ffhq_00018,2026-08-15 16:47:34,3c0b512,True,ffhq,super_resolution,00018.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.6172,27.1651,0.8079,0.1372,300,20,320,24.0,1.4,25.4
20260815_164802_super_resolution_ffhq_00019,2026-08-15 16:48:02,3c0b512,True,ffhq,super_resolution,00019.png,20,10-7-3,15,0.001,0.1,0.2,db4,3,1.0,0.05,27.0874,27.3672,0.8676,0.0819,300,20,320,23.9,1.2,25.0
20260815_165053_super_resolution_ffhq_00000,2026-08-15 16:50:53,3c0b512,True,ffhq,super_resolution,00000.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,28.7294,29.5244,0.8757,0.074,300,60,360,23.8,4.2,28.0
20260815_165123_super_resolution_ffhq_00001,2026-08-15 16:51:23,3c0b512,True,ffhq,super_resolution,00001.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.7573,27.5765,0.8252,0.1026,300,60,360,19.8,4.0,23.8
20260815_165154_super_resolution_ffhq_00002,2026-08-15 16:51:54,3c0b512,True,ffhq,super_resolution,00002.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,29.4235,29.7778,0.8399,0.1371,300,60,360,23.8,4.0,27.8
20260815_165222_super_resolution_ffhq_00003,2026-08-15 16:52:22,3c0b512,True,ffhq,super_resolution,00003.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.1067,28.2005,0.8567,0.0732,300,60,360,22.6,3.8,26.4
20260815_165252_super_resolution_ffhq_00004,2026-08-15 16:52:52,3c0b512,True,ffhq,super_resolution,00004.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,23.2475,23.3019,0.7659,0.1861,300,60,360,23.3,3.8,27.2
20260815_165323_super_resolution_ffhq_00005,2026-08-15 16:53:23,3c0b512,True,ffhq,super_resolution,00005.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,26.9604,28.3912,0.8256,0.173,300,60,360,23.6,4.2,27.8
20260815_165354_super_resolution_ffhq_00006,2026-08-15 16:53:54,3c0b512,True,ffhq,super_resolution,00006.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.3226,28.5082,0.8567,0.1187,300,60,360,23.2,4.1,27.3
20260815_165424_super_resolution_ffhq_00007,2026-08-15 16:54:24,3c0b512,True,ffhq,super_resolution,00007.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,26.4691,26.8947,0.7991,0.1115,300,60,360,23.6,4.0,27.6
20260815_165454_super_resolution_ffhq_00008,2026-08-15 16:54:54,3c0b512,True,ffhq,super_resolution,00008.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.3901,28.2758,0.8077,0.0959,300,60,360,23.1,4.2,27.4
