batch_id,dataset,task,image,exp_id,psnr,ssim,lpips,nfe_total,time_total_s
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00000.png,20260818_004514_gaussian_deblur_ffhq_00000,28.062927883257842,0.8497413992881775,0.12212932854890823,300,31.689642906188965
20260818_004434_ffhq_batch,ffhq,inpainting,00000.png,20260818_004549_inpainting_ffhq_00000,27.616457315753543,0.8551680445671082,0.09853500872850418,300,29.53362798690796
20260818_004434_ffhq_batch,ffhq,motion_deblur,00000.png,20260818_004627_motion_deblur_ffhq_00000,23.1895736752194,0.6844653487205505,0.21836844086647034,300,31.50925922393799
20260818_004434_ffhq_batch,ffhq,super_resolution,00000.png,20260818_004703_super_resolution_ffhq_00000,29.726547879838936,0.8730308413505554,0.0971667692065239,300,28.93633198738098
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00001.png,20260818_004741_gaussian_deblur_ffhq_00001,25.2294027245853,0.7441142201423645,0.10852634906768799,300,31.258036136627197
20260818_004434_ffhq_batch,ffhq,inpainting,00001.png,20260818_004815_inpainting_ffhq_00001,26.503542762837814,0.7960439324378967,0.1098501980304718,300,27.017150163650513
20260818_004434_ffhq_batch,ffhq,motion_deblur,00001.png,20260818_004851_motion_deblur_ffhq_00001,22.765335285326746,0.6309417486190796,0.16793721914291382,300,30.886136531829834
20260818_004434_ffhq_batch,ffhq,super_resolution,00001.png,20260818_004925_super_resolution_ffhq_00001,27.55871919080215,0.8174617290496826,0.08895786851644516,300,27.25514054298401
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00002.png,20260818_005000_gaussian_deblur_ffhq_00002,28.0516012922821,0.7977225184440613,0.1399369090795517,300,28.640060663223267
20260818_004434_ffhq_batch,ffhq,inpainting,00002.png,20260818_005035_inpainting_ffhq_00002,27.884533212727472,0.8069930076599121,0.1544610559940338,300,29.551498889923096
20260818_004434_ffhq_batch,ffhq,motion_deblur,00002.png,20260818_005113_motion_deblur_ffhq_00002,24.80596374990961,0.6666863560676575,0.1700100600719452,300,32.28560495376587
20260818_004434_ffhq_batch,ffhq,super_resolution,00002.png,20260818_005148_super_resolution_ffhq_00002,30.014449270192877,0.8545023798942566,0.14209967851638794,300,30.968143939971924
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00003.png,20260818_005224_gaussian_deblur_ffhq_00003,26.40339487923818,0.8250736594200134,0.08770842850208282,300,32.02879786491394
20260818_004434_ffhq_batch,ffhq,inpainting,00003.png,20260818_005254_inpainting_ffhq_00003,26.851386020873456,0.8355098366737366,0.07763095945119858,300,26.977189302444458
20260818_004434_ffhq_batch,ffhq,motion_deblur,00003.png,20260818_005328_motion_deblur_ffhq_00003,23.923765854465596,0.7193949818611145,0.13446274399757385,300,30.15357804298401
20260818_004434_ffhq_batch,ffhq,super_resolution,00003.png,20260818_005400_super_resolution_ffhq_00003,27.72719007986879,0.8463139533996582,0.08212113380432129,300,27.70002031326294
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00004.png,20260818_005432_gaussian_deblur_ffhq_00004,22.016821431938848,0.7191179394721985,0.21320560574531555,300,27.299734115600586
20260818_004434_ffhq_batch,ffhq,inpainting,00004.png,20260818_005504_inpainting_ffhq_00004,22.79888509371256,0.7697030901908875,0.16023482382297516,300,27.558220386505127
20260818_004434_ffhq_batch,ffhq,motion_deblur,00004.png,20260818_005545_motion_deblur_ffhq_00004,20.246487057927965,0.6138399243354797,0.2946101129055023,300,35.789663314819336
20260818_004434_ffhq_batch,ffhq,super_resolution,00004.png,20260818_005623_super_resolution_ffhq_00004,23.455726922693437,0.7745175361633301,0.16614960134029388,300,33.98478126525879
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00005.png,20260818_005702_gaussian_deblur_ffhq_00005,25.6849529160002,0.7321042418479919,0.2228478640317917,300,34.85637044906616
20260818_004434_ffhq_batch,ffhq,inpainting,00005.png,20260818_005739_inpainting_ffhq_00005,27.48586474209069,0.8167036175727844,0.18941178917884827,300,34.12198519706726
20260818_004434_ffhq_batch,ffhq,motion_deblur,00005.png,20260818_005819_motion_deblur_ffhq_00005,23.221485075902507,0.6190823912620544,0.24920418858528137,300,37.05458855628967
20260818_004434_ffhq_batch,ffhq,super_resolution,00005.png,20260818_005855_super_resolution_ffhq_00005,27.918894312781497,0.8135156631469727,0.18758155405521393,300,32.661059617996216
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00006.png,20260818_005935_gaussian_deblur_ffhq_00006,25.726055048448984,0.8255255818367004,0.13021034002304077,300,37.197746992111206
20260818_004434_ffhq_batch,ffhq,inpainting,00006.png,20260818_010015_inpainting_ffhq_00006,26.11381917592919,0.8264229893684387,0.11607250571250916,300,34.78678822517395
20260818_004434_ffhq_batch,ffhq,motion_deblur,00006.png,20260818_010057_motion_deblur_ffhq_00006,22.813193430389255,0.6874499320983887,0.2034987509250641,300,38.307058572769165
20260818_004434_ffhq_batch,ffhq,super_resolution,00006.png,20260818_010135_super_resolution_ffhq_00006,28.329777439392902,0.8624334931373596,0.11374886333942413,300,34.61446475982666
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00007.png,20260818_010217_gaussian_deblur_ffhq_00007,24.54397378547712,0.7283622622489929,0.20056456327438354,300,37.17022514343262
20260818_004434_ffhq_batch,ffhq,inpainting,00007.png,20260818_010258_inpainting_ffhq_00007,24.887503264860843,0.6971287131309509,0.15751288831233978,300,35.40310883522034
20260818_004434_ffhq_batch,ffhq,motion_deblur,00007.png,20260818_010338_motion_deblur_ffhq_00007,22.740603266470455,0.6155723929405212,0.23856006562709808,300,34.89680075645447
20260818_004434_ffhq_batch,ffhq,super_resolution,00007.png,20260818_010417_super_resolution_ffhq_00007,26.09132329751086,0.7798067927360535,0.14515279233455658,300,34.637856006622314
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00008.png,20260818_010456_gaussian_deblur_ffhq_00008,26.658696767039373,0.7710726857185364,0.12497927993535995,300,36.50643992424011
20260818_004434_ffhq_batch,ffhq,inpainting,00008.png,20260818_010531_inpainting_ffhq_00008,26.137206416036065,0.7590375542640686,0.12812575697898865,300,32.48392915725708
20260818_004434_ffhq_batch,ffhq,motion_deblur,00008.png,20260818_010611_motion_deblur_ffhq_00008,23.18617631597867,0.6329317688941956,0.20442713797092438,300,35.43369793891907
20260818_004434_ffhq_batch,ffhq,super_resolution,00008.png,20260818_010648_super_resolution_ffhq_00008,28.419761231125428,0.7998878955841064,0.11547356843948364,300,34.267903089523315
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00009.png,20260818_010727_gaussian_deblur_ffhq_00009,25.91923775756141,0.8398872017860413,0.13233627378940582,300,36.82316279411316
20260818_004434_ffhq_batch,ffhq,inpainting,00009.png,20260818_010804_inpainting_ffhq_00009,27.067723455810018,0.8599197268486023,0.10184739530086517,300,33.60607147216797
20260818_004434_ffhq_batch,ffhq,motion_deblur,00009.png,20260818_010841_motion_deblur_ffhq_00009,22.30113231764254,0.6793425679206848,0.233273446559906,300,34.05511975288391
20260818_004434_ffhq_batch,ffhq,super_resolution,00009.png,20260818_010919_super_resolution_ffhq_00009,27.689277436313073,0.870277464389801,0.1235169842839241,300,34.26070237159729
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00010.png,20260818_010958_gaussian_deblur_ffhq_00010,22.646561567912688,0.760891854763031,0.13028143346309662,300,35.44227170944214
20260818_004434_ffhq_batch,ffhq,inpainting,00010.png,20260818_011035_inpainting_ffhq_00010,24.275124040743414,0.8048022389411926,0.0940566435456276,300,34.38710403442383
20260818_004434_ffhq_batch,ffhq,motion_deblur,00010.png,20260818_011118_motion_deblur_ffhq_00010,21.159403474522804,0.6529129147529602,0.2010907083749771,300,37.194533348083496
20260818_004434_ffhq_batch,ffhq,super_resolution,00010.png,20260818_011158_super_resolution_ffhq_00010,24.4408713592101,0.8213555812835693,0.10231032967567444,300,32.73957657814026
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00011.png,20260818_011239_gaussian_deblur_ffhq_00011,24.50180905767304,0.7591611742973328,0.16790848970413208,300,37.769925594329834
20260818_004434_ffhq_batch,ffhq,inpainting,00011.png,20260818_011318_inpainting_ffhq_00011,25.228915914456273,0.8204815983772278,0.11166847497224808,300,35.13768291473389
20260818_004434_ffhq_batch,ffhq,motion_deblur,00011.png,20260818_011353_motion_deblur_ffhq_00011,21.015810686302544,0.5705499053001404,0.2836354374885559,300,31.269507884979248
20260818_004434_ffhq_batch,ffhq,super_resolution,00011.png,20260818_011432_super_resolution_ffhq_00011,27.09104668543425,0.8501365780830383,0.11484021693468094,300,33.85507607460022
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00012.png,20260818_011515_gaussian_deblur_ffhq_00012,25.638454673849026,0.8613716959953308,0.12957285344600677,300,38.32149815559387
20260818_004434_ffhq_batch,ffhq,inpainting,00012.png,20260818_011554_inpainting_ffhq_00012,25.91440980978635,0.8728720545768738,0.08419591188430786,300,36.66192698478699
20260818_004434_ffhq_batch,ffhq,motion_deblur,00012.png,20260818_011633_motion_deblur_ffhq_00012,22.95780753860516,0.7815747857093811,0.1567341387271881,300,36.99911618232727
20260818_004434_ffhq_batch,ffhq,super_resolution,00012.png,20260818_011710_super_resolution_ffhq_00012,27.375202402696583,0.8803887963294983,0.09871063381433487,300,34.02044701576233
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00013.png,20260818_011751_gaussian_deblur_ffhq_00013,22.399590400740696,0.7506615519523621,0.12141674757003784,300,38.14436483383179
20260818_004434_ffhq_batch,ffhq,inpainting,00013.png,20260818_011828_inpainting_ffhq_00013,23.783534912984404,0.8091726303100586,0.10432429611682892,300,34.3774049282074
20260818_004434_ffhq_batch,ffhq,motion_deblur,00013.png,20260818_011909_motion_deblur_ffhq_00013,20.425673014596445,0.6426487565040588,0.15799930691719055,300,38.32275319099426
20260818_004434_ffhq_batch,ffhq,super_resolution,00013.png,20260818_011943_super_resolution_ffhq_00013,24.402403260828336,0.8254939913749695,0.08790969103574753,300,31.271973609924316
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00014.png,20260818_012023_gaussian_deblur_ffhq_00014,25.23770278050177,0.7171397805213928,0.14060944318771362,300,35.89282417297363
20260818_004434_ffhq_batch,ffhq,inpainting,00014.png,20260818_012101_inpainting_ffhq_00014,25.864070938116125,0.7823224067687988,0.12006910890340805,300,35.56675910949707
20260818_004434_ffhq_batch,ffhq,motion_deblur,00014.png,20260818_012143_motion_deblur_ffhq_00014,22.508194219374257,0.5976939797401428,0.23472121357917786,300,39.51368451118469
20260818_004434_ffhq_batch,ffhq,super_resolution,00014.png,20260818_012220_super_resolution_ffhq_00014,27.09969549007601,0.7895452976226807,0.11381201446056366,300,34.19118642807007
20260818_004434_ffhq_batch,ffhq,gaussian_deblur,00015.png,20260818_012302_gaussian_deblur_ffhq_00015,27.351913993712557,0.8394715189933777,0.13605117797851562,300,38.91701865196228
20260818_004434_ffhq_batch,ffhq,inpainting,00015.png,20260818_012340_inpainting_ffhq_00015,26.911227591345096,0.8385650515556335,0.1239406019449234,300,35.259982109069824
20260818_004434_ffhq_batch,ffhq,motion_deblur,00015.png,20260818_012421_motion_deblur_ffhq_00015,23.901468787942633,0.6601592898368835,0.2577502131462097,300,38.22378849983215
