batch_id,dataset,task,image,exp_id,psnr,ssim,lpips,nfe_total,time_total_s
20260818_004419_ffhq_batch,ffhq,gaussian_deblur,00000.png,20260818_004457_gaussian_deblur_ffhq_00000,28.372321147878097,0.8540142178535461,0.13715365529060364,300,27.913745403289795
20260818_004419_ffhq_batch,ffhq,inpainting,00000.png,20260818_004533_inpainting_ffhq_00000,28.03054925394417,0.8577175140380859,0.102351613342762,300,28.671311140060425
20260818_004419_ffhq_batch,ffhq,motion_deblur,00000.png,20260818_004609_motion_deblur_ffhq_00000,24.47265235102796,0.7351774573326111,0.19536438584327698,300,30.15994095802307
20260818_004419_ffhq_batch,ffhq,super_resolution,00000.png,20260818_004646_super_resolution_ffhq_00000,29.710882105959783,0.8809211850166321,0.10150493681430817,300,29.598623991012573
20260818_004419_ffhq_batch,ffhq,gaussian_deblur,00001.png,20260818_004722_gaussian_deblur_ffhq_00001,25.434026939555352,0.7451173663139343,0.1312849223613739,300,29.070327520370483
20260818_004419_ffhq_batch,ffhq,inpainting,00001.png,20260818_004758_inpainting_ffhq_00001,27.124980086330858,0.81695955991745,0.10998845100402832,300,29.0380859375
20260818_004419_ffhq_batch,ffhq,motion_deblur,00001.png,20260818_004838_motion_deblur_ffhq_00001,23.049280453540103,0.6457622647285461,0.17294955253601074,300,32.73317503929138
20260818_004419_ffhq_batch,ffhq,super_resolution,00001.png,20260818_004917_super_resolution_ffhq_00001,27.892298916764968,0.829649031162262,0.10747866332530975,300,30.622065782546997
20260818_004419_ffhq_batch,ffhq,gaussian_deblur,00002.png,20260818_004953_gaussian_deblur_ffhq_00002,28.331306483369243,0.7998538017272949,0.17001762986183167,300,29.1077401638031
20260818_004419_ffhq_batch,ffhq,inpainting,00002.png,20260818_005029_inpainting_ffhq_00002,28.254971188609844,0.8071921467781067,0.13207131624221802,300,28.577986001968384
20260818_004419_ffhq_batch,ffhq,motion_deblur,00002.png,20260818_005108_motion_deblur_ffhq_00002,25.22961837128709,0.67164546251297,0.18571022152900696,300,32.893484115600586
20260818_004419_ffhq_batch,ffhq,super_resolution,00002.png,20260818_005148_super_resolution_ffhq_00002,30.15020798858618,0.858910858631134,0.12389597296714783,300,32.06172013282776
20260818_004419_ffhq_batch,ffhq,gaussian_deblur,00003.png,20260818_005230_gaussian_deblur_ffhq_00003,26.108282405454496,0.820307195186615,0.08950281143188477,300,33.611467599868774
20260818_004419_ffhq_batch,ffhq,inpainting,00003.png,20260818_005307_inpainting_ffhq_00003,27.425543011838226,0.844867467880249,0.06636221706867218,300,29.979023933410645
20260818_004419_ffhq_batch,ffhq,motion_deblur,00003.png,20260818_005348_motion_deblur_ffhq_00003,24.079216262444753,0.7337246537208557,0.13145026564598083,300,33.4372980594635
